session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Fluent languages,Nationality,Sex,Student Status,
60e5ad585bdd470e5d8856d3,60e598a3c6dfaf7e625227af,APPROVED,34:21.5,48:43.1,861.612,19,31,0,100,04:51.0,1A79B39E,Estonia,Estonia,Unemployed (and job seeking),Estonian,"Estonian, English",Estonia,Male,No,1
60e5ad5af85cea9b4feabca7,60e46e73e4c4216e7dcbe325,APPROVED,34:22.4,00:02.3,1539.886,27,30,1,100,04:51.9,1A79B39E,South Africa,South Africa,Part-Time,DATA EXPIRED,English,South Africa,Male,Yes,1
60e5ad6dbd3d4942d456b7af,60e3622e91d69d796cc6bfa7,APPROVED,34:41.7,51:47.8,1026.068,37,49,0,100,04:53.0,1A79B39E,DATA EXPIRED,United Kingdom,Full-Time,English,"English, Spanish",Ireland,Male,No,1
60e5ad723a93950a6e44833c,60e4682567b01db32a66bae6,APPROVED,34:42.8,51:26.9,1004.094,21,19,0,100,04:53.9,1A79B39E,India,Hungary,Other,DATA EXPIRED,"English, Hindi, Urdu",India,Male,Yes,1
60e5ad79f9af2f7bab72290a,59e13ed27f3d71000171dabb,APPROVED,34:58.7,01:15.4,1576.69,29,82,1,100,04:54.8,1A79B39E,Mexico,Mexico,Unemployed (and job seeking),Spanish,"English, Spanish",Mexico,Female,Yes,0
60e5ad8139c230df68439945,60e2b9473f2ca1db9ea1f886,APPROVED,36:11.1,55:35.1,1164.025,21,20,1,99,04:56.1,1A79B39E,South Africa,South Africa,Unemployed (and job seeking),DATA EXPIRED,English,South Africa,Female,Yes,0
60e5ad9362814abaa7b2aca6,60df528ac0c2b1c6d24b7b88,APPROVED,35:32.9,51:40.1,967.208,18,17,0,100,04:57.0,1A79B39E,Poland,Poland,Unemployed (and job seeking),Polish,"English, Polish",Poland,Female,Yes,0
60e5adad669310e640d91471,6041095bf7fcc903e502069b,APPROVED,35:44.9,54:32.5,1127.615,19,35,0,100,04:58.2,1A79B39E,Poland,Poland,"Not in paid work (e.g. homemaker', 'retired or disabled)",Polish,"Polish, German, English",Poland,Male,Yes,1
60e5adc88cdb536216abcebf,5f64bfc3a289d20219936e21,APPROVED,37:57.9,56:11.6,1093.673,23,52,1,100,04:59.2,1A79B39E,Portugal,Portugal,DATA EXPIRED,Portuguese,"Portuguese, English",Portugal,Female,DATA EXPIRED,0
60e5adef76ce1d8f4363d090,60e0823c7d9d61e4de557b89,APPROVED,42:47.1,07:56.3,1509.203,25,21,1,99,05:00.4,1A79B39E,South Africa,South Africa,Unemployed (and job seeking),DATA EXPIRED,English,South Africa,Female,No,0
